,title,sku,item
0,Play Stage Ball 62mm,Stgbal:PSB62,Color
1,Play Stage Ball 62mm,Stgbal:PSB62,Mixed (we pick the color(s) )
2,"Radfactor Manipulation Ball (185mm, 419 grams) ",BounceBall:RFB,Color
3,Play Stage Ball 62mm,Stgbal:PSB62,White Matte
4,"Radfactor Manipulation Ball (185mm, 419 grams) ",BounceBall:RFB,yellow (OUT OF STOCK)
5,Play Stage Ball 78mm,Stgbal:PSB78S,Color
6,Play Stage Ball 62mm,Stgbal:PSB62,Red Pastel Matte 
7,"Radfactor Manipulation Ball (185mm, 419 grams) ",BounceBall:RFB,white (1 IN STOCK)
8,Play Stage Ball 78mm,Stgbal:PSB78S,mixed (we pick the colors)
9,Play Stage Ball 62mm,Stgbal:PSB62,Yellow Pastel Matte
10,"Radfactor Manipulation Ball (185mm, 419 grams) ",BounceBall:RFB,magenta (OUT IF STOCK)
11,Play Stage Ball 78mm,Stgbal:PSB78S,white
12,Play Stage Ball 70mm,Stgbal:PSB70,Color
13,Play Glitter Stage Ball 78mm ,Stgbal:PSB78S,Color
14,Play Stage Ball 62mm,Stgbal:PSB62,Green Pastel Matte
15,"Radfactor Manipulation Ball (185mm, 419 grams) ",BounceBall:RFB,light blue (OUT OF STOCK)
16,Play Stage Ball 78mm,Stgbal:PSB78S,glow-in-the-dark ($1.00)
17,Play Stage Ball 70mm,Stgbal:PSB70,Mixed (we pick the color)
18,Play Glitter Stage Ball 78mm ,Stgbal:PSB78S,red
19,Play Stage Balls 90mm,Stgbal:PSB90,color
20,Play Stage Ball 62mm,Stgbal:PSB62,Blue Pastel Matte
21,"Radfactor Manipulation Ball (185mm, 419 grams) ",BounceBall:RFB,floro red (3 IN STOCK)
22,Play Stage Ball 78mm,Stgbal:PSB78S,red 
23,Play Stage Ball 70mm,Stgbal:PSB70,Matte Pastel Pink (redish)
24,Play Glitter Stage Ball 78mm ,Stgbal:PSB78S,aqua
25,Play Stage Balls 90mm,Stgbal:PSB90,white
26,Play Glitter Stage Balls 90mm ,Stgbal:PSB90,color
27,Play Stage Ball 62mm,Stgbal:PSB62,Violet Pastel Matte
28,"Radfactor Manipulation Ball (185mm, 419 grams) ",BounceBall:RFB,green (OUT OF STOCK)
